grid_id,size_ratio,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,max_direction,min_direction,mean_direction,std_direction,color,size_cluster,cluster_id
102,0.035694444444444445,8,100,1080,3.5901098714230018,5.608872702071867,8.58980338670346,240,260,338.1985905136482,0.0,65.0183029387788,134.2846834017451,green,2.0,0
102,0.04351851851851852,9,100,1375,4.745683095211729,5.281458251437038,6.153888993459195,237,267,45.0,8.130102354155952,22.38878194069413,19.803308115263274,green,3.0,0
102,0.07569898329702253,17,100,846,0.05875432039800645,2.5138074155869696,125.57488925927565,77,220,333.43494882292197,0.0,154.29254084167988,105.0375369566924,green,6.0,0
102,0.023765432098765436,19,3,644,0.6578947368421052,1.7549945232012758,5.598790102985103,13,259,333.43494882292197,0.0,119.01562704361272,117.49819531377396,blue,1.0,0
102,0.022273988123144243,21,100,170,0.6172839506172839,1.4892210091861382,10.226669555440184,77,223,315.0,0.0,156.04382891460958,101.49035412571922,green,1.0,0
102,0.06666666666666668,25,20,2080,2.238805970149253,4.55522169199721,6.447233886218803,240,268,12.528807709151524,0.0,6.8863033544358245,6.356337987945751,red,5.0,0
102,0.03357744107744108,29,100,988,2.2900763358778624,4.114488150648366,5.571764358942786,188,269,348.69006752597977,0.0,40.42096292004004,102.66463646293914,green,2.0,0
102,0.003299039780521262,32,3,75,0.6993006993006993,1.7949488675249592,3.902106781608433,207,225,270.0,45.0,171.70492760041398,78.574422655349,blue,0.0,0
102,0.01437307098765432,33,100,270,0.6622516556291391,2.240547684454357,6.776309271789384,99,224,333.43494882292197,26.565051177077976,189.42913178912696,103.12375830778771,green,1.0,0
102,0.01895355673133451,39,20,85,0.02186566046796428,1.414236916932635,11.716427823148429,79,220,315.0,0.0,193.81376826867643,90.4608861643375,red,1.0,0
102,0.039740740740740736,40,100,1219,2.054794520547945,5.210625367359186,7.479395565464588,237,265,354.28940686250036,0.0,80.53117350518603,153.52169039259798,green,3.0,0
102,0.05447145061728395,42,100,1612,2.083333333333333,5.142844632588863,7.565439499210544,237,262,333.43494882292197,0.0,54.86110359876841,112.90002677552641,green,4.0,0
102,0.03446296296296296,45,100,950,2.258769757263128,6.1388761252775135,10.313741569239019,226,267,341.56505117707803,4.7636416907261605,83.16223575303026,144.96506468495215,green,2.0,0
102,0.014422398589065256,50,3,450,0.9820927516479828,3.1744662434219606,5.32571545864609,8,259,315.0,128.65980825409008,229.98589322408824,71.28660318075569,blue,1.0,0
102,0.00510082304526749,51,20,24,0.09704865666338447,0.9851176260401544,2.903595510998352,198,240,270.0,0.0,171.1454834095843,97.30244362857829,red,0.0,0
102,0.01541005291005291,56,3,198,0.9753196981883416,4.279189029166643,8.783783783783784,11,262,270.0,0.0,84.62835749708123,94.99426025439806,blue,1.0,0
102,0.032490253411306035,66,100,602,0.08988949026718751,1.3447763980327023,3.7313432835820888,77,220,333.43494882292197,0.0,187.7648003673508,105.94581198130173,green,2.0,0
102,0.006577705156136529,67,3,84,0.6849315068493149,1.5363188786615305,5.423784497157398,7,270,333.43494882292197,0.0,208.54575112924888,95.24278535783769,blue,0.0,0
102,0.01569753086419753,69,100,480,0.6493506493506493,1.6794299626466984,3.571428571428571,97,226,306.8698976458441,104.03624346792652,224.32605518428792,84.15537574806898,green,1.0,0
102,0.0253858024691358,78,100,322,0.6666666666666667,1.27856107118532,3.9682539682539684,89,221,288.43494882292197,0.0,129.8882106302087,115.71583474335928,green,2.0,0
102,0.007982603815937149,82,100,200,0.625,1.8397545772420136,5.160156871153362,91,208,270.0,0.0,108.32861626752606,96.58672985033822,green,0.0,0
102,0.0444238683127572,96,100,1323,1.885618083164127,3.6961003657074887,4.865042554105199,233,262,341.56505117707803,0.0,53.27749568981871,109.34578521908225,green,3.0,0
102,0.008810820624546115,100,100,198,0.6211180124223602,1.3152290078251407,2.9814239699997205,93,217,315.0,0.0,136.37560123865964,106.59897622291996,green,0.0,0
102,0.00558641975308642,115,3,96,0.7462686567164178,2.8834821059143216,5.892003607563442,24,249,296.56505117707803,54.46232220802562,172.8924644416051,105.2866218267128,blue,0.0,0
102,0.03797325102880658,135,20,1166,11.296179796212769,13.473805777682307,14.725377234348787,213,268,14.036243467926454,2.726310993906281,10.266265976586396,6.529792558392036,red,3.0,0
102,0.06394984567901234,143,100,572,0.6622516556291391,2.118427047569281,8.625193411612262,78,228,315.0,0.0,171.63505623949376,90.22377160802831,green,5.0,0
102,0.003779149519890261,147,100,52,0.6211180124223602,1.1587361352862129,3.571428571428571,221,182,270.0,0.0,157.95167235300866,91.15497378359626,green,0.0,0
102,0.016289173789173786,148,20,408,0.6896551724137931,1.1761375264063116,2.1582733812949644,204,235,315.0,0.0,178.5819270136214,107.22316707825871,red,1.0,0
102,0.0064831059129304746,150,3,64,0.6493506493506493,1.547015012911111,4.411764705882354,4,257,270.0,0.0,191.674745783165,87.53796868614012,blue,0.0,0
102,0.006952380952380953,156,100,100,0.6535947712418301,1.1628353106196436,3.697290359145347,69,182,315.0,0.0,140.69828670937642,101.71068752806411,green,0.0,0
102,0.00432716049382716,160,100,77,0.6535947712418301,3.006862786435648,26.241134751773053,78,230,315.0,33.69006752597977,169.88981535307798,89.22196095170817,green,0.0,0
102,0.027418630751964084,168,100,832,3.8498497027203924,5.642391179720433,8.155177475308111,205,268,239.03624346792648,153.43494882292205,184.9105637894185,23.033478247922808,green,2.0,0
102,0.0507716049382716,179,100,1610,4.5057500224431255,4.879003668416014,5.2522573143889035,240,269,350.53767779197443,23.198590513648185,186.86813415281128,231.4636883619196,green,4.0,0
