102	390	0.35942695668994634
103	143	0.36122193227077276
202	1196	0.8635824288062015
203	564	0.3922955397849033
303	913	0.5202162589107496
403	854	0.46777284797829355
404	825	0.6127999858977872
101-11-11	214	0.3240045291369258
101-11-10	58	0.29400353964470993
101-11-00	49	0.6322902494331069
102-11	30	0.4410434044456707
202-01-10	31	0.2035125448028674
302-00-01	19	0.458331543143573
301-11-11	91	0.42030815826742224
401-10-10	40	0.5421515648732134
402-00	268	0.49638872127219097
401-10-11	16	0.3541870330798223
402-10	240	0.45440080858677256
302-01	307	0.6543776459844113
301-11-01	18	0.5093834222655916
301-11-00	100	0.37982032417798545
301-01-10	91	0.3293740853061794
301-01-00	56	0.5723809523809525
101-00	17	0.8952287581699347
102-10	28	0.37476247235315174
102-00	1	0.028888888888888853
402-01	202	0.44950878597713523
402-00-10	8	0.35485576923076917
402-10-00	7	0.4351665725578769
401-10-00	3	0.6977777777777779
302-00	338	0.6600164365548983
402-00-00	3	0.10222222222222221
203-00	27	0.5940482817877454
204-00	135	0.6496265242928493
302-11	349	0.48036453592948003
304-11	101	0.32659734839402416
304-01	182	0.3979215485488913
402-11	66	0.5071018192779057
203-01	182	0.537579763231937
304-00	156	0.43772680608266484
303-10	107	0.5258138612912256
303-00	135	0.5598930041152266
302-10	297	0.5932085106186139
201-10-11	115	0.3190369119986509
201-10-10	225	0.30124557206823405
201-00	2	0.905
201-11-11	31	0.4229192715667918
201-11-10	63	0.3317374748584197
201-10-00	20	0.5308500943500943
101-11-01	68	0.49742170543454073
102-01	139	0.6502797761790565
202-01-11	32	0.18690838675213667
402-10-10	15	0.32152032604812447
403-00	148	0.5289852571172129
403-10	95	0.33341960532425574
403-01	40	0.6134722222222218
303-01	117	0.5936694045381987
402-00-11	3	0.3273684210526316
201-11-01	10	0.7516095987094171
202-00-00	42	0.3187881534459815
202-00-01	72	0.3688151576851758
202-01-00	47	0.42398617930532834
202-11-01	34	0.12182031310547936
301-11-10	138	0.3799654838452054
302-11-10	6	0.30485777838719014
303-11	117	0.49216591884492
302-01-01	26	0.47485817601202207
302-01-11	16	0.29686524334251607
302-11-11	20	0.21736657834502662
204-01	169	0.42851791278517554
204-10	78	0.4663733995986393
202-00-10	6	0.37777777777777777
202-00-11	4	0.2877777777777778
301-10-11	31	0.5354299305990469
301-10-01	18	0.7491289257809105
301-10-10	19	0.6139805220005147
203-11	120	0.4352690882376887
203-10	11	0.5343434343434343
104-11	62	0.7509951938885338
202-01-01	33	0.40028476483151065
402-10-11	5	0.5305005326091086
402-10-01	1	0.5377777777777778
403-11	20	0.47331403940886707
302-00-10	18	0.3478835771508185
204-11	56	0.4415033981478803
202-11-11	12	0.13766118744379616
302-00-11	15	0.21274074074074076
304-10	66	0.38584956042363777
302-01-10	5	0.5066666666666666
104-01	21	0.7621164021164022
302-11-01	19	0.2658640855011091
101-10	4	0.9275
302-01-00	13	0.30790805073063143
302-11-00	5	0.3351111111111111
402-01-10	6	0.25407407407407406
402-01-00	7	0.1926034463372126
402-00-01	4	0.20666666666666667
101-01	12	0.9488888888888889
302-00-00	19	0.5316959064327484
201-01	2	0.8733333333333333
301-10-00	12	0.7718518518518519
301-00	11	0.8473737373737372
202-10	5	0.6955555555555556
201-10-01	8	0.5261706349206349
202-11-10	1	0.4155844155844156
402-01-01	3	0.4839638157894737
104-10	1	0.9722222222222222
401-11	12	0.7166666666666667
402-01-11	4	0.3422222222222222
301-01-01	1	0.37777777777777777
301-01-11	1	0.6888888888888889
201-11-00	5	0.776
