104	734	0.7244396508224856
302-11	3355	0.6680997972277004
303-11	1383	0.41485008644701227
303-01	1617	0.5105479864416438
302-01-10	1681	0.3835270704052939
302-00-01	3172	0.5154171463150431
301-10-11	1433	0.6047484913293404
203-00	1156	0.5807193975274753
203-10	945	0.49003607640978747
203-11	811	0.5339477057885615
202-01-11	770	0.5322160714180946
202-11-01	593	0.4880606175225415
202-11-11	545	0.35296241986852955
203-01	1585	0.697035995897998
302-00-11	1504	0.38321822246385273
302-00-00	909	0.6003300979652103
301-10-10	1595	0.6525560044069642
202-11-10	629	0.3582832154241969
204-00	539	0.3268949734930477
204-10	424	0.26219302467482186
204-01	588	0.319572895565422
204-11	427	0.23944364358395429
303-00	1004	0.5485980947453795
302-10	1654	0.6993130389446436
302-01-11	299	0.3198601542915364
402-11-11	12	0.6711265432098766
402-11-10	162	0.4926633412469024
402-10	192	0.7806315235570827
304-00	18	0.41081324541874825
404-00	300	0.3605791976236947
403-10	604	0.401382203347622
201-11-10	358	0.5199664915318634
201-11-11	464	0.6085286718114489
202-01-01	949	0.5082478151866835
202-01-10	955	0.49417418809405167
202-11-00	723	0.4880294715700345
201-11-00-10	13	0.3787875425856194
304-01	267	0.3880824082976647
302-01-00	1245	0.5196810838390731
403-00	759	0.526070790726425
303-10	254	0.4302989932496837
202-00-11	62	0.41390333449389755
202-10-01	486	0.41082550873429463
202-10-11	489	0.3336050126157305
202-10-10	10	0.3737172810106878
103-01	1	0.49629629629629635
103-11	269	0.3803113030117207
403-01-00	611	0.27825809763210374
202-01-00	476	0.4340013778574889
302-00-10	47	0.5155993110190772
201-11-01-11	97	0.4689391108857453
304-10	6	0.2739506172839506
403-01-11	115	0.496759486474033
404-01	45	0.3825080375858728
201-11-01-10	42	0.45636257790045937
201-11-00-11	24	0.38140144178462626
201-11-00-00	13	0.5742450142450142
403-01-01	102	0.4050646154266588
102-11	3	0.9696296296296296
202-00-00	1	0.8755555555555555
304-11	3	0.30254228041462083
403-11	5	0.4686850492563067
301-10-00	46	0.698099838969404
301-11-10	31	0.46578941684965064
201-11-00-01	11	0.5744107744107745
201-10	22	0.9809764309764305
102-00	1	0.9637037037037037
404-11	1	0.15555555555555556
403-01-10	1	0.25037037037037035
202-00-10	4	0.9148148148148149
102-01	4	0.9833333333333333
