12	8702	2728	3298	0.18522542096686584
17	3881	1353	5719	0.12352780060257464
18	3162	377	6438	0.03778690989275333
19	5954	1313	6046	0.09862540374070458
20	2958	224	9042	0.01832460732984293
21	3451	72	6149	0.007444168734491315
24	4147	0	5453	0
26	2853	291	6747	0.029420685471640885
27	4309	68	12491	0.004031301873369694
28	7861	2333	6539	0.13942508814916632
29	3652	0	5948	0
31	6396	463	15204	0.020985360105153426
32	4194	296	7806	0.024072869225764477
33	2951	272	9049	0.02216427640156454
36	3553	203	8447	0.016635253626157503
37	1973	6	7627	0.0006246096189881324
40	3400	30	6200	0.003115264797507788
41	2795	164	6805	0.016796394920114706
42	10594	995	15806	0.036320496440956376
43	6738	867	10062	0.049074545763287486
44	4744	1224	4856	0.1130820399113082
45	4314	431	7686	0.03467138605100153
46	3585	326	6015	0.032843038484787423
47	3424	0	13376	0
48	3657	179	8343	0.014697430002463256
49	3591	12	6009	0.0012484394506866417
50	6002	495	8398	0.03323262839879154
51	6869	1106	5131	0.08438882954372043
52	2210	25	7390	0.0025974025974025974
53	4909	614	4691	0.06011356961033875
54	2537	600	9463	0.047619047619047616
62	2405	0	7195	0
64	4452	216	9948	0.014778325123152709
66	3067	712	6533	0.06904577191621412
67	3496	17	10904	0.0011791634875494208
70	2890	545	4310	0.07036797934151065
71	4675	238	9725	0.016259051783030467
72	3364	980	6236	0.09262759924385633
73	10616	817	13384	0.03292098158520369
74	4217	247	7783	0.02016820445823467
75	4565	541	7435	0.043138505701299734
77	3046	402	6554	0.04019196160767846
78	3397	679	3803	0.08617844904175657
79	2980	765	4220	0.096045197740113
80	4555	443	9845	0.029845718520514722
81	8812	1901	5588	0.11661861235507025
82	3393	61	11007	0.0042182421685913836
84	4939	1210	11861	0.06718489727928928
85	4338	470	10062	0.03160726294552791
87	5883	545	3717	0.05372104484967965
88	2979	137	6621	0.014070042107425285
89	4289	823	7711	0.06418154877953677
90	5007	155	9393	0.010649261422191686
91	4056	376	7944	0.030381383322559793
92	6872	0	5128	0
93	4525	90	7475	0.007444168734491315
94	5031	242	9369	0.016527796749077995
95	4379	652	10021	0.043316502790326866
96	3969	264	8031	0.021526418786692758
98	3542	124	8458	0.01022764764104256
99	2963	90	6637	0.009287925696594427
100	5437	174	8963	0.011939069575957185
101	3685	171	8315	0.014049790485580478
102	4312	392	7688	0.0316333118140736
104	5742	375	6258	0.030303030303030304
105	2876	54	6724	0.005593536357986327
108	2678	341	4522	0.04521946691420236
109	3054	30	6546	0.003115264797507788
110	3416	191	8584	0.01566729554589451
111	2322	457	7278	0.04544098637764741
112	6689	210	7711	0.014373716632443531
113	3564	271	8436	0.02208458968299242
114	4550	159	9850	0.010921079744487945
116	4908	191	9492	0.013090261119868413
118	2986	159	6614	0.016292652935751613
