2242	22088	22088	0	43612	0.33619482496194825
2248	14416	14406	10	64434	0.18267816383464366
2257	11986	11286	700	28134	0.27648211660950517
2264	7363	7363	0	32057	0.1867833587011669
2288	16303	16303	0	62537	0.2067858954845256
2293	16208	15888	320	36672	0.2986466165413534
2294	11293	10828	465	28592	0.2683519206939281
2298	22217	20625	1592	45075	0.29941641019685267
2304	15097	14931	166	37629	0.28229221810481736
2306	13309	13309	0	39251	0.25321537290715374
2329	20280	17484	2796	35076	0.30066033842344203
2332	21002	20708	294	44992	0.3123944001930968
2335	23319	23204	115	81916	0.2202562885619364
2343	21611	19434	2177	59406	0.23359857682044377
2344	15178	14821	357	37739	0.2782032511168675
2347	17974	17974	0	60866	0.22798072044647388
2349	18599	18599	0	33961	0.35386225266362253
2365	16863	16835	28	48865	0.25602226412798834
2381	14521	13207	1314	65633	0.16211273137919183
2384	12206	12206	0	27214	0.3096397767630644
2392	10512	9035	1477	30385	0.21322037098220606
2400	7023	6828	195	32592	0.17151469480030143
2407	22487	20165	2322	45535	0.2866626862276811
2409	23729	20730	2999	44970	0.2891294038885325
2413	15919	15877	42	49823	0.24135048035996595
2424	21574	20753	821	58087	0.2578589001267364
2426	37661	37260	401	67860	0.35176828232095314
2429	19308	19222	86	72758	0.20859015539543363
2430	35866	35258	608	56722	0.3783209579810292
2435	15438	15109	329	50591	0.22768920100063292
2437	30046	29093	953	76027	0.27183114383420853
2448	12869	12869	0	39691	0.24484398782343988
2450	16310	15673	637	63167	0.19563372194622664
2455	9030	7936	1094	44624	0.14495506685175713
2457	19758	19653	105	59187	0.2486148007590133
2462	12579	12534	45	40026	0.23806267806267806
2472	13716	13716	0	65124	0.17397260273972603
2474	41666	40966	700	90434	0.3084789156626506
2477	22340	22340	0	56500	0.28335870116692036
2478	17850	17700	150	48000	0.2681818181818182
2486	18898	18327	571	34233	0.34127220587687607
2489	17435	17435	0	35125	0.3317161339421613
2503	15468	14508	960	38052	0.26629955947136563
2505	11025	11025	0	54675	0.1678082191780822
2509	14757	13505	1252	39055	0.2452600610199041
2511	13091	13091	0	52609	0.19925418569254186
2514	13460	13460	0	25960	0.34145104008117705
2518	30997	27703	3294	24857	0.46836748495299924
2520	18284	18059	225	21361	0.4529470780035114
2526	55115	51855	3260	79545	0.3759788283062645
2532	16330	16085	245	23335	0.40303182159859685
2535	12209	12154	55	27266	0.3074626865671642
2536	9489	9489	0	43071	0.1805365296803653
2549	22320	19179	3141	46521	0.26644161040260067
2550	11148	11148	0	41412	0.21210045662100457
2556	26499	24888	1611	53952	0.3032828836733202
2563	15330	13519	1811	12761	0.45211022674068624
2566	11644	10629	1015	28791	0.2564294330518697
2572	12187	12033	154	40527	0.22760460013618825
