12	5625	5805	5951	0.3339853863414073
17	2455	2779	3617	0.31397582194102364
18	2875	664	5347	0.07472428539275265
19	1647	5620	4836	0.46434768239279517
20	2122	1060	5580	0.12097694590276192
21	1472	2051	5370	0.23063083323962666
24	1412	2735	4388	0.32044522554188637
26	1961	1183	4199	0.16110581506196378
27	1330	3047	6975	0.26841085271317827
28	5373	4821	1851	0.40024906600249066
29	1655	1997	5187	0.2259305351284082
31	2510	4349	8622	0.2809250048446483
32	3289	1201	3565	0.14909993792675358
33	2060	1163	5642	0.131190073322053
36	1271	2485	4801	0.29040551595185227
37	1948	31	3970	0.005210959825180703
40	711	2719	5449	0.30622817884896947
41	1998	961	4844	0.12315775983596053
42	5537	6052	9337	0.2892095957182452
43	2853	4752	5340	0.3670915411355736
44	3140	2828	3730	0.2916065168075892
45	2108	2637	4954	0.2718836993504485
46	2346	1565	4166	0.19376005942800545
47	992	2432	6639	0.24167743217728313
48	2546	1290	4518	0.15441704572659803
49	740	2863	5420	0.317300232738557
50	1685	4812	5518	0.40049937578027467
51	3979	3996	2549	0.37970353477765106
52	952	1283	3828	0.21161141349167079
53	1746	3777	4774	0.3668058657861513
54	1748	1389	3208	0.21891252955082743
62	407	1998	5393	0.25621954347268533
64	2156	2512	6338	0.2282391422860258
66	2623	1156	3802	0.15248647935628545
67	999	2514	5521	0.27828204560549036
70	1556	1879	2226	0.3319201554495672
71	1368	3545	5512	0.34004796163069545
72	2620	1724	2807	0.24108516291427773
73	6577	4856	8819	0.2397787872802686
74	2682	1782	3712	0.21795499021526418
75	1926	3180	6208	0.28106770372989215
77	1677	1771	3295	0.2626427406199021
78	2841	1235	2651	0.18358852385907537
79	495	3250	4997	0.37176847403340196
80	3146	1852	3072	0.22949194547707558
81	4293	6420	3315	0.4576561163387511
82	547	2907	4961	0.34545454545454546
84	3247	2902	4169	0.28125605737546033
85	3068	1740	3124	0.21936459909228442
87	1955	4473	4510	0.40894130554031816
88	1968	1148	4874	0.14367959949937423
89	1406	3706	6427	0.3211716786549961
90	2516	2646	5978	0.23752244165170558
91	2698	1734	5459	0.17531088868668487
92	4008	2864	3760	0.2693754702784048
93	1765	2850	5115	0.29290853031860226
94	3605	1668	5774	0.15099121933556622
95	3876	1155	5800	0.10663835287600407
96	2774	1459	4290	0.17118385544995893
98	2574	1092	3778	0.14669532509403546
99	1864	1189	6358	0.1263415152481139
100	3214	2397	8692	0.16758721946444802
101	1065	2791	5680	0.29268036912751677
102	1325	3379	5555	0.3293693342431036
104	3953	2164	3111	0.23450368443866493
105	1171	1759	4959	0.22296869058182278
108	1280	1739	2540	0.3128260478503328
109	556	2528	5604	0.29097605893186
110	1425	2182	5637	0.23604500216356555
111	1500	1279	4184	0.18368519316386614
112	2914	3985	6812	0.2906425497775509
113	2498	1337	4566	0.15914772050946316
114	2200	2509	6654	0.22080436504444248
116	992	4107	6113	0.3663039600428113
118	1849	1296	5023	0.15866797257590598
119	2402	2127	3370	0.26927459172047097
121	2321	1358	3479	0.18971779826767254
